2026-02-25 18:58:18 status half-configured libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:58:18 status half-installed libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:58:18 status config-files libslirp0:arm64 4.8.0-1+b1
2026-02-25 18:58:18 status not-installed libslirp0:arm64 <none>
2026-02-25 18:58:18 startup packages configure
2026-02-25 18:58:18 trigproc man-db:arm64 2.13.1-1 <none>
2026-02-25 18:58:18 status half-configured man-db:arm64 2.13.1-1
2026-02-25 18:58:20 status installed man-db:arm64 2.13.1-1
2026-02-25 18:58:20 trigproc libc-bin:arm64 2.41-12+rpt1 <none>
2026-02-25 18:58:20 status half-configured libc-bin:arm64 2.41-12+rpt1
2026-02-25 18:58:20 status installed libc-bin:arm64 2.41-12+rpt1
2026-02-25 18:58:59 startup archives unpack
2026-02-25 18:59:00 install runc:arm64 <none> 1.1.15+ds1-2+b4
2026-02-25 18:59:00 status half-installed runc:arm64 1.1.15+ds1-2+b4
2026-02-25 18:59:00 status triggers-pending man-db:arm64 2.13.1-1
2026-02-25 18:59:00 status unpacked runc:arm64 1.1.15+ds1-2+b4
2026-02-25 18:59:00 install containerd:arm64 <none> 1.7.24~ds1-6+deb13u1
2026-02-25 18:59:00 status half-installed containerd:arm64 1.7.24~ds1-6+deb13u1
2026-02-25 18:59:06 status unpacked containerd:arm64 1.7.24~ds1-6+deb13u1
2026-02-25 18:59:06 install tini:arm64 <none> 0.19.0-3+b5
2026-02-25 18:59:06 status half-installed tini:arm64 0.19.0-3+b5
2026-02-25 18:59:06 status unpacked tini:arm64 0.19.0-3+b5
2026-02-25 18:59:06 install docker.io:arm64 <none> 26.1.5+dfsg1-9+b11
2026-02-25 18:59:06 status half-installed docker.io:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:11 status unpacked docker.io:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:11 install libnet1:arm64 <none> 1.3+dfsg-2
2026-02-25 18:59:11 status triggers-pending libc-bin:arm64 2.41-12+rpt1
